Patron ID	Patron Group	Enrollment Date	Expiration Date	Email	First Name	Last Name	Address Line 1	City	State	Zip Code	Country	Username	Active User	Address Line 2
7775277	1			cproctor36@fakelibrary.edu	Christine	Proctor	27330 Ruth Field	Port Michaelborough	North Dakota	562	US	cproctor36	TRUE	
3546024	3			ngallagher74@fakelibrary.edu	Nicole	Gallagher	36910 Joseph Summit	Lake Kevin	North Dakota	815	US	ngallagher74	TRUE	
5165414	3			ftaylor99@fakelibrary.edu	Frank	Taylor	1134 Sean Estate	Lake Kevin	North Dakota	1551	US	ftaylor99	TRUE	Suite 677
437066	2	2019-01-01	2023-05-31	kfletcher82@fakelibrary.edu	Kellie	Fletcher	25486 Karen Spur	West Michaelfurt	North Dakota	1810	US	kfletcher82	FALSE	Apt. 777
2212081	2	2023-06-01	2027-12-31	bpearson22@fakelibrary.edu	Betty	Pearson	75879 Brandon Grove	Lake Stevenmouth	North Dakota	2899	US	bpearson22	TRUE	
4307174	3			llloyd92@fakelibrary.edu	Linda	Lloyd	7577 Angel Ramp	New Kimberly	North Dakota	2903	US	llloyd92	TRUE	Apt. 884
4810407	2	2021-01-01	2025-05-31	jhenderson63@fakelibrary.edu	Julie	Henderson	33879 Tom Courts	Lake Kevin	North Dakota	2993	US	jhenderson63	TRUE	Apt. 539
2343129	2	2021-01-01	2025-05-31	rcastillo42@fakelibrary.edu	Robert	Castillo	7009 Dominique Street	Lake Kevin	North Dakota	3013	US	rcastillo42	TRUE	
6292904	2	2023-06-01	2027-12-31	sperez99@fakelibrary.edu	Sarah	Perez	941 Brown Track	South Gloria	North Dakota	3080	US	sperez99	TRUE	
7471568	3			dray66@fakelibrary.edu	Daniel	Ray	88013 John Junction	Stephaniemouth	North Dakota	3090	US	dray66	TRUE	
1745955	2	2023-06-01	2027-12-31	arodriguez57@fakelibrary.edu	Andrew	Rodriguez	110 Jackson Court	North Natalie	North Dakota	3314	US	arodriguez57	TRUE	Suite 843
2589985	2	2021-01-01	2025-05-31	gcooper78@fakelibrary.edu	Gary	Cooper	82466 Ashley Crescent	Lake Kevin	North Dakota	3383	US	gcooper78	TRUE	Apt. 119
3393451	2	2023-06-01	2027-12-31	jparrish78@fakelibrary.edu	Juan	Parrish	54829 Jackie Spurs	North Bridgetside	North Dakota	3594	US	jparrish78	TRUE	Suite 694
5291427	2	2023-06-01	2027-12-31	mjames87@fakelibrary.edu	Megan	James	1289 Cameron Circle	South Julia	North Dakota	4334	US	mjames87	TRUE	
8876034	3			wgreer23@fakelibrary.edu	William	Greer	6439 Rebecca Mill	Port Jeffreyport	North Dakota	4526	US	wgreer23	TRUE	
9219298	2	2019-01-01	2023-05-31	award86@fakelibrary.edu	Austin	Ward	66674 Crystal Canyon	West Benjamin	North Dakota	4908	US	award86	FALSE	Apt. 719
9002845	2	2023-06-01	2027-12-31	jholmes65@fakelibrary.edu	Jason	Holmes	6901 Joseph Hill	Lake Kevin	North Dakota	5134	US	jholmes65	TRUE	
5322091	2	2023-06-01	2027-12-31	mjoyce61@fakelibrary.edu	Melinda	Joyce	314 Zimmerman Wall	Marktown	North Dakota	5296	US	mjoyce61	TRUE	Apt. 150
5798155	2	2023-06-01	2027-12-31	jarnold51@fakelibrary.edu	Jeremy	Arnold	8699 Osborne Flat	Lake Kevin	North Dakota	5318	US	jarnold51	TRUE	
6558994	2	2021-01-01	2025-05-31	mwilson76@fakelibrary.edu	Mary	Wilson	9772 Richards Branch	Lake Kevin	North Dakota	6847	US	mwilson76	TRUE	Suite 730
1685152	3			tholden92@fakelibrary.edu	Tamara	Holden	8353 April Stream	Lake Kevin	North Dakota	7299	US	tholden92	TRUE	
2770789	2	2021-01-01	2025-05-31	bmerritt95@fakelibrary.edu	Brett	Merritt	89154 Diane Via	Lake Kevin	North Dakota	7539	US	bmerritt95	TRUE	Suite 457
7862984	2	2023-06-01	2027-12-31	kbarber75@fakelibrary.edu	Kevin	Barber	826 Ashley Freeway	Richardville	North Dakota	7556	US	kbarber75	TRUE	
6649746	2	2021-01-01	2025-05-31	anelson75@fakelibrary.edu	Angela	Nelson	99505 Cook Springs	Lake Kevin	North Dakota	7719	US	anelson75	TRUE	
1351378	2	2019-01-01	2023-05-31	wbartlett92@fakelibrary.edu	William	Bartlett	806 Danny Path	West Amandaville	North Dakota	7920	US	wbartlett92	FALSE	
9013278	2	2023-06-01	2027-12-31	jnewman11@fakelibrary.edu	Jimmy	Newman	3669 Anthony Fields	North Anna	North Dakota	8608	US	jnewman11	TRUE	Apt. 771
4349273	3			amiller19@fakelibrary.edu	Amy	Miller	18813 Charles Rapid	Leachtown	North Dakota	9355	US	amiller19	TRUE	
1776485	2	2023-06-01	2027-12-31	btucker76@fakelibrary.edu	Brandon	Tucker	74977 Johnny Islands	South Jameston	North Dakota	9758	US	btucker76	TRUE	Apt. 447
3534106	2	2021-01-01	2025-05-31	rmarquez58@fakelibrary.edu	Rebecca	Marquez	17627 Alexis Island	Lake Kevin	North Dakota	9814	US	rmarquez58	TRUE	Apt. 940
7551994	2	2019-01-01	2023-05-31	tdavis88@fakelibrary.edu	Tanya	Davis	529 Monica Shoal	West Duane	North Dakota	11260	US	tdavis88	FALSE	
1286533	2	2023-06-01	2027-12-31	ddunn54@fakelibrary.edu	David	Dunn	34257 Roberto Flat	Port Dwayne	North Dakota	11564	US	ddunn54	TRUE	Apt. 671
9139268	1			mmalone76@fakelibrary.edu	Miguel	Malone	205 Wiggins Estates	West Christopher	North Dakota	11731	US	mmalone76	FALSE	
2906133	3			hbean50@fakelibrary.edu	Heather	Bean	90918 Mendez Road	Lake Kevin	North Dakota	12089	US	hbean50	TRUE	Suite 333
9382473	2	2023-06-01	2027-12-31	sdavis34@fakelibrary.edu	Susan	Davis	0792 Rebecca Mountains	Michelestad	North Dakota	12295	US	sdavis34	TRUE	Suite 105
8124579	2	2023-06-01	2027-12-31	acraig50@fakelibrary.edu	Anthony	Craig	27804 Vega Shoal	Lake Matthew	North Dakota	12305	US	acraig50	TRUE	Apt. 024
1123067	2	2023-06-01	2027-12-31	thurley47@fakelibrary.edu	Timothy	Hurley	1973 Kaitlin Mountains	Port Ryanborough	North Dakota	12602	US	thurley47	TRUE	
285865	3			jnunez67@fakelibrary.edu	Jeremy	Nunez	62836 Sophia Rest	Lake Kevin	North Dakota	12933	US	jnunez67	TRUE	Suite 367
4647171	2	2023-06-01	2027-12-31	clewis20@fakelibrary.edu	Cheryl	Lewis	844 Angela Curve	Moorefurt	North Dakota	13012	US	clewis20	TRUE	Apt. 035
8459442	2	2023-06-01	2027-12-31	asmith97@fakelibrary.edu	Angela	Smith	54545 James Shore	Lake Kevin	North Dakota	13696	US	asmith97	TRUE	Apt. 961
